Data_ID,DL_ID,PreAmp,CPU_Ver,Latitude,Longitude,Depth_m,Deploy_Date,Recovery_Date,Status,Sample_Rate,Cycle_Int,Duty_Dur,Prob_Set,Data_Start_Date,Data_Start_Time,Data_End_Date,Data_End_Time,Rec_Dur
LJ19-P,16-121213,676,2.02S,32-53.762 N,117-22.458 W,600,2013-02-12,2013-03-13,R,200,0,0,0,2013-02-12,23:00:00,2013-03-13,22:46:15,29
LJ21-P1,80-130527,711,2.02S,32-53.493 N,117-24.016 W,521,2013-05-27,2013-09-05,R,200,0,0,0,2013-05-27,06:00:00,2013-09-05,23:05:00,102
LJ21-P2,52-130526,712,2.02S,32-52.997 N,117-23.666 W,500,2013-05-26,2013-06-27,R,200,0,0,0,2013-05-27,06:00:00,2013-06-27,21:32:30,31
LJ21-P3,13-130526,714,2.02S,32-53.025 N,117-24.327 W,520,2013-05-26,2013-06-25,R,200,0,0,0,2013-05-27,06:00:00,2013-06-25,20:26:15,29
LJ21_WG,40-130527,706,NULL,NULL,NULL,NULL,2013-05-27,2013-06-04,R,200,0,0,0,2013-05-27,19:00:00,2013-06-05,22:00:00,9
LJ23-P,71-140124,711,2.02S,32-53.514 N,117-24.043 W,422,2014-01-24,2014-03-04,R,200,0,0,0,2014-01-25,00:00:00,2014-03-05,01:53:45,39
LJ26-P,71-030614,711,2.02S,32-53.416 N,117-24.056 W,NULL,2014-03-06,2014-06-27,R,200,0,0,0,2014-03-06,20:00:00,2014-06-27,21:12:30,113
LJ27-P,83-140627,676,2.02S,32-53.375 N,117-24.070 W,NULL,2014-06-27,2014-10-01,R,200,0,0,0,2014-06-28,00:00:00,2014-10-01,20:46:15,95.9
LJ27-P_A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2014-07-11,20:00:00,2014-07-15,22:23:46,4.1
LJ27-P_B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2014-07-11,20:00:00,2014-07-15,20:36:15,4
LJ28-P,32-141001,677,2.02S,32-53.423 N,117-24.012 W,530,2014-10-01,2015-01-09,R,200,0,0,0,2014-11-16,08:00:00,2015-01-12,18:15:00,57.4
LJ29-P,37-150109,676,2.02S,32-53.412 N,117-24.019 W,NULL,2015-01-09,NULL,R,200,0,0,0,NULL,NULL,NULL,NULL,NULL
LJ30-P,NULL,NULL,NULL,NULL,NULL,NULL,2015-01-09,NULL,NULL,200,0,0,0,NULL,NULL,NULL,NULL,NULL
LJ30-P_C4,107-150418,?;764;765;766,2.94,32-53.375 N,117-24.013 W,530,2015-04-20,2015-04-22,R,100,0,0,0,NULL,NULL,NULL,NULL,NULL
LJ31-P,37-150602,780,2.02S,32-53.404 N,117-24.032 W,NULL,2015-06-02,2015-09-25,R,200,0,0,0,2015-06-02,18:00:00,2015-09-18,19:20:00,108
LJ32-P,43-150925,599,2.02S,32-53.418 N,117-24.039 W,NULL,2015-09-25,2015-10-19,R,200,0,0,0,2015-09-25,18:00:00,2015-10-19,21:13:45,24.1
LJ32-P_T,101-150925,800,2.74,32-53.418 N,117-24.039 W,NULL,2015-09-25,2015-10-19,R,200,0,0,0,2015-09-25,18:00:00,2015-10-14,06:08:45,18.5
LJ33-P,101-151020,599,2.74,32-53.401 N,117-24.006 W,NULL,2015-10-20,2015-11-20,R,200,0,0,0,2015-10-20,18:00:00,2015-11-20,21:33:45,31.1
LJ_DM_01_A,107-160907,823,2.85,32-59.628 N,117-25.034 W,100,2016-09-07,2016-09-23,R,200,0,0,0,2016-09-08,00:00:00,2016-09-23,22:06:15,15.9
LJ_DM_01_B_C4,136-160907,781;782;784;805,2.95,32-59.628 N,117-25.034 W,200,2016-09-07,2016-09-23,R,100,0,0,0,2016-09-08,00:00:00,2016-09-22,06:55:49,14.3
LJ_DM_01_D,103-160907,818,2.85,32-59.628 N,117-25.034 W,570,2016-09-07,2016-09-23,R,200,0,0,0,2016-09-08,00:00:00,2016-09-23,22:13:45,15.9
LJ_LCN_01_DL151_C4,151-170317,845;850;861;862,2.96,32-48.358 N,117-31.369 W,900,2017-03-17,NULL,R,100,0,0,0,NULL,NULL,NULL,NULL,NULL
LJ_LCN_01_DL153_C4,153-170317,851;852;853;854,2.96,32-48.358 N,117-31.369 W,900,2017-03-17,NULL,R,100,0,0,0,NULL,NULL,NULL,NULL,NULL
LJ_LCN_02_B_C4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,R,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
LJ_LCN_02_DL151_C4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,R,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
LJ_LCN_02_DL153_C4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,R,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
LJ_LCN_03_00_C4,150-170524,865;868;869;864,2.96,32-48.366 N,117-31.565 W,900,2017-05-24,2017-06-02,R,100,0,0,0,NULL,NULL,NULL,NULL,NULL
LJ_LCN_04,130-170818,870,2.87,32-48.382 N,117-31.607 W,900,2017-08-18,2017-09-01,R,200,0,0,0,NULL,NULL,NULL,NULL,NULL
LJ_LCN_04_DL115,115-170818,822,2.87,32-48.382 N,117-31.607 W,900,2017-08-18,2017-09-01,R,200,0,0,0,NULL,NULL,NULL,NULL,NULL
LJ_Pier_01,84-170130,NULL,2.3,NULL,NULL,67,2017-01-30,NULL,R,200,0,0,0,NULL,NULL,NULL,NULL,NULL
LJ_P_34_01,115-151120,720,2.74,32-52.038 N,117-23.482 W,468,2015-11-20,2016-04-08,R,200,0,0,0,2015-11-20,21:00:00,2016-03-01,21:22:36,102
LJ_P_34_02_C4,106-151120,764;781;782;784,2.94,32-51.472 N,117-24.605 W,522,2015-11-20,2016-03-15,R,100,0,0,1,2015-11-20,20:30:00,2016-02-19,01:59:33,90.2
LJ_P_34_03_C4,107-151120,745;747;748;749,2.94,32-52.553 N,117-24.608 W,526,2015-11-20,2016-03-15,R,100,0,0,1,2015-11-20,20:30:00,2016-02-22,03:34:14,93.3
LJ_P_35,126-160408,809,2.84,32-52.097 N,117-23.478 W,470,2016-04-08,2016-08-10,R,200,0,0,0,2016-04-09,00:00:00,2016-08-10,19:45:06,123.8
LJ_P_36,126-160810,809,2.85,32-52.100 N,117-22.470 W,380,2016-08-12,2016-10-26,R,200,0,0,0,2016-08-12,18:00:00,2016-10-26,21:47:36,75.2
LJ_P_37,125-161025,837,2.86,32-52.049 N,117-23.436 W,450,2016-10-26,2016-12-08,R,200,0,0,0,NULL,NULL,NULL,NULL,NULL
LJ_P_38,111-161208,840,2.86,32-52.569 N,117-23.718 W,503,2016-12-08,2017-02-13,R,200,0,0,0,2016-12-09,00:02:29,2017-02-13,19:29:05,66.8
LJ_P_39_01,129-170214,841,2.86,32-53.053 N,117-23.594 W,504,2017-02-14,2017-05-24,R,200,0,0,0,2017-02-14,18:00:00,2017-05-24,19:46:15,99.1
LJ_P_39_02_C4,137-170213,846;847;848;849,2.95,32-52.552 N,117-23.640 W,500,2017-02-13,2017-02-23,R,100,0,0,0,2017-02-14,00:00:00,2017-02-23,05:03:21,9.2
LJ_P_40,129-170530,806,2.86,32-53.053 N,117-23.954 W,517,2017-05-30,2017-09-29,R,200,0,0,1,2017-05-30,16:00:00,2017-09-29,21:10:06,122.2
LJ_P_41,154-170927,870,2.87,32-53.051 N,117-23.897 W,600,2017-09-27,2018-01-22,R,200,0,0,0,2017-09-28,00:00:00,2017-12-09,07:23:45,72.3
LJ_P_42,107-180122,803,2.87,32-52.975 N,117-23.851 W,NULL,2018-01-22,2018-06-15,R,200,0,0,0,2018-01-23,00:00:00,2018-06-15,21:11:15,143.9
LJ_P_42_N_C4,111-180305,900;905;906;907,2.97,32-53.2492 N,117-23.1710 W,500,2018-03-05,2018-03-08,R,100,0,0,0,NULL,NULL,NULL,NULL,NULL
LJ_P_42_S_C4,140-180305,904;908;909;910,2.97,32-52.7744 N,117-23.9178 W,505,2018-03-05,2018-03-08,R,100,0,0,0,NULL,NULL,NULL,NULL,NULL
LJ_P_43,124-180615,814,2.87,32-52.9649 N,117-23.8615 W,510,2018-06-15,2018-08-17,R,200,0,0,0,2018-06-16,00:00:00,2018-08-17,21:48:37,62.9
LJ_P_44,125-180817,858,2.87,32052.9171 N,117-23.9115 W,500,2018-08-17,2018-11-08,R,200,0,0,1,2018-08-18,00:00:00,2018-11-08,19:17:35,82.8
LJ_SBE_01_DP,95-170530,875,2.02,32-51.850 N,117-28.957 W,265,2017-05-30,NULL,R,200,0,0,0,NULL,NULL,NULL,NULL,NULL
LJ_SBE_01_SH,87-170530,NULL,2.27,32-51.850 N,117-28.957 W,65,2017-05-30,NULL,R,200,0,0,0,NULL,NULL,NULL,NULL,NULL
LJ_SBE_02_DP,95-170601,875,2.02,32-51.828 N,117-27.740 W,265,2017-06-01,NULL,R,200,0,0,0,2017-06-01,16:00:00,2017-06-02,15:58:45,1
LJ_SBE_02_SH,87-170601,NULL,2.27,32-51.828 N,117-27.740 W,65,2017-06-01,NULL,R,200,0,0,0,2017-06-01,16:00:00,2017-06-02,15:58:45,1
LJ_SBE_03_DP,95-170602,875,2.02,32-51.363 N,117-32.592 W,265,2017-06-02,2017-06-03,R,NULL,NULL,NULL,0,2017-06-02,16:00:00,2017-06-03,01:37:30,0.4
LJ_SBE_03_SH,87-170602,NULL,2.27,32-51.363 N,117-32.592 W,65,2017-06-02,2017-06-03,R,NULL,NULL,NULL,0,2017-06-02,16:00:00,2017-06-03,02:02:30,0.42
LSM01-d,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2009-05-18,00:00:00,2009-08-15,10:33:45,90
LSM01-s,02-070405,306,1.17B,28-36.801 N,176-42.098 W,123,2007-04-05,2007-08-29,R,200,15,5,0,2007-04-05,05:30:00,2007-07-19,06:50:00,106
LSM02-s,15-070830,350,1.17,28-35.987 N,176-42.012 W,111,2007-08-29,NULL,R,200,15,5,1,2007-08-30,00:00:00,2007-10-19,22:20:00,51
MBARI01-M1,NULL,0,NULL,36-45.560 N,122-01.350 W,900,2015-08-01,2016-01-31,R,256,0,0,0,2015-08-01,00:00:00,2016-01-31,23:59:59,NULL
NFC01-A,66-140619,667,2.02S,37-09.974 N,74-28.015 W,982,2014-06-19,2015-04-07,R,200,0,0,1,2014-06-19,12:00:00,2015-04-05,02:25:48,289.6
NFC_A_02,110-160730,814,2.84,37-09.991 N,74-27.996 W,968,2016-04-30,2017-06-29,R,200,0,0,1,2016-04-30,12:00:00,2017-06-28,18:38:51,424.3
NFC_A_03,120-170629,877,2.86,37-10.044 N,74-27.980 W,950,2017-06-29,2018-06-02,R,200,0,0,1,2017-06-30,00:00:00,2018-06-02,06:15:06,337.25
OCNMS01-CE,NULL,*,NULL,47-21.800 N,124-45.391 W,150,2004-07-08,2004-10-06,R,80,0,0,0,2004-07-12,00:00:00,2004-10-05,11:05:38,86
OCNMS02-QC,NULL,*,NULL,47-27.634 N,125-07.879 W,915,2004-10-07,2005-07-26,R,80,30,10.25,0,2004-10-19,00:00:00,2005-01-25,00:31:57,99
OCNMS03-QC,09-050727,*,1.17,47-28.054 N,125-09.170 W,823,2005-07-27,2006-08-17,R,80,18,6,0,2005-07-28,00:00:00,2006-02-20,18:07:43,208
OCNMS04-CE,09-060718,111,1.17,47-21.701 N,124-42.079 W,150,2006-08-18,2007-04-20,R,80,18,6,0,2006-08-18,10:00:00,2007-03-11,01:43:38,204.7
OCNMS04-QC,08-060817,110,1.17,47-28.134 N,125-09.799 W,615,2006-08-17,2007-04-20,R,80,18,6,0,2006-08-18,05:00:00,2007-02-08,16:13:42,175
OCNMS05-CE,08-070420,110,1.17,47-21.620 N,124-42.088 W,100,2007-04-20,2007-07-03,R,80,0,0,0,2007-04-21,00:00:00,2007-07-03,15:57:01,73
OCNMS05-QC,09-070421,111,1.17,47-27.970 N,125-09.208 W,620,2007-04-21,2007-07-03,R,80,0,0,0,2007-04-21,06:00:00,2007-07-03,20:34:50,74
OCNMS06-QC,01-070703,309,1.17*,47-27.960 N,125-09.195 W,653,2007-07-03,2008-06-14,R,200,35,5,1,2007-07-05,00:00:00,2008-06-15,00:19:28,347
OCNMS07-CE,09-071013,411,1.17,47-21.494 N,124-40.999 W,150,2007-10-13,2008-06-15,R,200,28,5,0,2007-10-14,00:00:00,2008-06-16,06:12:28,247
OCNMS08-CE,09-080616,411,1.17,47-21.485 N,124-41.001 W,100,2008-06-16,2009-08-20,R,200,35,5,0,2008-06-17,00:00:00,2009-06-09,11:05:43,358
OCNMS12-QC,57-110126,587,NULL,47-30.003 N,125-21.203 W,650,2011-01-27,2011-12-06,R,200,0,0,0,2011-01-27,06:00:00,2011-10-07,07:23:42,253.1
OCNMS13-CE,46-110520,614,2.02S,47-21.117 N,124-43.256 W,118,2011-05-20,TBD,R,200,0,0,0,2011-05-21,00:00:00,2011-11-06,10:12:27,169.4
OCNMS14-CE,67-111206,587,2.02S,47-21.141 N,124-43.275 W,150,2011-12-06,2012-09-13,R,200,0,0,0,2011-12-07,00:00:00,2012-01-17,13:25:00,42
OCNMS14-QC,70-111207,614,2.02S,47-30.026 N,125-21.212 W,1394,2011-12-07,2012-09-12,R,200,0,0,0,2011-12-07,06:00:00,2012-07-11,07:00:00,218
OCNMS15-QC,39-120913,678,2.02S,47-30.032 N,125-21.215 W,1394,2012-09-13,2013-07-16,R,200,0,0,0,2012-09-14,00:00:00,2013-06-30,09:22:30,289
